Choice,Total,%
00,1,2.38
01,2,4.76
02,12,28.57
03,10,23.81
04,8,19.05
05,4,9.52
06,4,9.52
07,0,0.00
08,0,0.00
09,1,2.38
10,0,0.00
11,0,0.00
12,0,0.00
